### NIRSPEC Brown Dwarf Spectroscopic Survey (BDSS)
### McLean et al. 2007, ApJ, 658. 1217; Rice et al. 2010, ApJS, 186, 63
### Please cite the above references if you use  
### or display this data in your publication.
### GL 577BC -- NIRSPEC-3 Filter, dispersion order 59
### lambda (microns)   Flambda (Normalized)
       1.2879802      0.95584520
       1.2879987      0.95825911
       1.2880172      0.95685250
       1.2880357      0.95387169
       1.2880541      0.95547955
       1.2880726      0.95273746
       1.2880911      0.94929504
       1.2881096      0.95341311
       1.2881281      0.95241180
       1.2881465      0.94626914
       1.2881650      0.93704366
       1.2881835      0.92385138
       1.2882020      0.91061115
       1.2882204      0.90656256
       1.2882389      0.91094224
       1.2882574      0.92789641
       1.2882759      0.93304200
       1.2882944      0.93411746
       1.2883128      0.93259904
       1.2883314      0.92977776
       1.2883499      0.93567137
       1.2883684      0.94471538
       1.2883869      0.94474264
       1.2884053      0.94883963
       1.2884238      0.95032665
       1.2884423      0.95917367
       1.2884608      0.96713589
       1.2884792      0.96202296
       1.2884977      0.96890378
       1.2885162      0.96345554
       1.2885347      0.96797075
       1.2885532      0.95189338
       1.2885716      0.96247837
       1.2885901      0.95872263
       1.2886086      0.96578208
       1.2886271      0.95942890
       1.2886455      0.96624061
       1.2886640      0.95751086
       1.2886825      0.96033193
       1.2887010      0.94841607
       1.2887195      0.95429819
       1.2887379      0.94417396
       1.2887564      0.93871548
       1.2887749      0.92837611
       1.2887934      0.93669646
       1.2888118      0.94147863
       1.2888303      0.93890623
       1.2888488      0.91667377
       1.2888673      0.91564805
       1.2888857      0.92812165
       1.2889042      0.95494585
       1.2889227      0.96684913
       1.2889412      0.97174378
       1.2889597      0.95633564
       1.2889781      0.97365892
       1.2889966      0.97057425
       1.2890151      0.97933491
       1.2890336      0.97646156
       1.2890520      0.96728341
       1.2890705      0.97240298
       1.2890890      0.97975616
       1.2891075      0.98760540
       1.2891260      0.98318871
       1.2891444      0.98547263
       1.2891629      0.98593875
       1.2891814      0.98422653
       1.2892000      0.99132208
       1.2892185      0.98410355
       1.2892369      0.98885190
       1.2892554      0.98580634
       1.2892739      0.98072537
       1.2892924      0.96075606
       1.2893108      0.97463911
       1.2893293      0.98064642
       1.2893478      0.98750631
       1.2893663      0.98259478
       1.2893848      0.99494560
       1.2894032      0.98677181
       1.2894217      0.99622330
       1.2894402      0.99046785
       1.2894587      0.98462614
       1.2894771      0.98400265
       1.2894956      0.98083465
       1.2895141      0.97453258
       1.2895326      0.98019570
       1.2895511      0.99574542
       1.2895695      0.98268642
       1.2895880      0.97949553
       1.2896065      0.98391944
       1.2896250      0.97618586
       1.2896434      0.96863386
       1.2896619      0.95787876
       1.2896804      0.97241164
       1.2896989      0.96913437
       1.2897174      0.98669816
       1.2897358      0.98931725
       1.2897543      0.98947248
       1.2897728      0.99094654
       1.2897913      0.99626719
       1.2898097      0.98921852
       1.2898282      0.98403438
       1.2898467      0.98856724
       1.2898652      0.98206914
       1.2898836      0.97420041
       1.2899021      0.98520484
       1.2899206      0.96513263
       1.2899391      0.98637978
       1.2899576      0.97218669
       1.2899760      0.96892471
       1.2899945      0.95686712
       1.2900130      0.95766219
       1.2900315      0.95216651
       1.2900501      0.97502780
       1.2900685      0.95849264
       1.2900870      0.95448058
       1.2901055      0.93703132
       1.2901240      0.92833384
       1.2901425      0.90617596
       1.2901609      0.89846283
       1.2901794      0.88824554
       1.2901979      0.87074561
       1.2902164      0.84908640
       1.2902348      0.84666018
       1.2902533      0.83915134
       1.2902718      0.83076099
       1.2902903      0.82408886
       1.2903087      0.81961439
       1.2903272      0.81854056
       1.2903457      0.82045933
       1.2903642      0.82467457
       1.2903827      0.83988630
       1.2904011      0.84980380
       1.2904196      0.87080324
       1.2904381      0.89230102
       1.2904566      0.90558497
       1.2904750      0.92144537
       1.2904935      0.92321830
       1.2905120      0.90840356
       1.2905305      0.90436788
       1.2905490      0.90038681
       1.2905674      0.94352009
       1.2905859      0.96269997
       1.2906044      0.96155364
       1.2906229      0.95530868
       1.2906413      0.95799972
       1.2906597      0.95976603
       1.2906782      0.97073114
       1.2906967      0.97559193
       1.2907152      0.97580216
       1.2907336      0.97051593
       1.2907521      0.97463198
       1.2907706      0.98055352
       1.2907891      0.98610136
       1.2908075      0.97378349
       1.2908260      0.97168944
       1.2908445      0.97526438
       1.2908630      0.97179285
       1.2908815      0.97827463
       1.2908999      0.96952841
       1.2909185      0.95953686
       1.2909370      0.95881383
       1.2909555      0.95940278
       1.2909740      0.96074755
       1.2909924      0.95463040
       1.2910109      0.95842660
       1.2910294      0.95584527
       1.2910479      0.95684546
       1.2910663      0.95828587
       1.2910848      0.95258576
       1.2911033      0.94989604
       1.2911218      0.95041319
       1.2911403      0.95127127
       1.2911587      0.95579411
       1.2911772      0.94486267
       1.2911957      0.94674832
       1.2912142      0.94035442
       1.2912326      0.93686622
       1.2912511      0.93295324
       1.2912696      0.93369690
       1.2912881      0.92380973
       1.2913066      0.92628396
       1.2913250      0.92962182
       1.2913435      0.93878542
       1.2913620      0.94504955
       1.2913805      0.93928937
       1.2913989      0.94752354
       1.2914174      0.95266077
       1.2914359      0.95042181
       1.2914544      0.95820707
       1.2914728      0.96133476
       1.2914913      0.97185103
       1.2915098      0.96764264
       1.2915283      0.96854814
       1.2915468      0.97037274
       1.2915652      0.97780739
       1.2915837      0.97373903
       1.2916022      0.96764859
       1.2916207      0.96802633
       1.2916391      0.97083032
       1.2916576      0.97265362
       1.2916761      0.95005560
       1.2916946      0.93083263
       1.2917131      0.91895072
       1.2917315      0.94091929
       1.2917500      0.95508761
       1.2917686      0.96963155
       1.2917871      0.97172060
       1.2918056      0.96678736
       1.2918240      0.96549806
       1.2918425      0.96350049
       1.2918610      0.95335164
       1.2918795      0.95946393
       1.2918979      0.94682428
       1.2919164      0.94728522
       1.2919349      0.93904180
       1.2919534      0.93740708
       1.2919719      0.92653225
       1.2919903      0.93617672
       1.2920088      0.91862640
       1.2920273      0.91307928
       1.2920458      0.91367972
       1.2920642      0.93561505
       1.2920827      0.93898708
       1.2921012      0.94295488
       1.2921197      0.94762653
       1.2921382      0.96568638
       1.2921566      0.95803343
       1.2921751      0.94947827
       1.2921936      0.90152388
       1.2922121      0.95666994
       1.2922305      0.96190340
       1.2922490      0.95279977
       1.2922675      0.95700142
       1.2922860      0.96762567
       1.2923045      0.96673915
       1.2923229      0.96751502
       1.2923414      0.96983918
       1.2923599      0.97249445
       1.2923784      0.97648546
       1.2923968      0.97601679
       1.2924153      0.96964392
       1.2924338      0.97791833
       1.2924523      0.98282159
       1.2924707      0.97905484
       1.2924892      0.97257940
       1.2925077      0.97959907
       1.2925262      0.97197626
       1.2925447      0.97652714
       1.2925631      0.97148345
       1.2925816      0.96949038
       1.2926001      0.96483610
       1.2926186      0.90521330
       1.2926372      0.81218065
       1.2926556      0.95508547
       1.2926741      0.97709391
       1.2926926      0.98138487
       1.2927111      0.98436170
       1.2927296      0.98443512
       1.2927480      0.97323948
       1.2927665      0.97812496
       1.2927850      0.97149567
       1.2928035      0.96431238
       1.2928219      0.95730839
       1.2928404      0.96858853
       1.2928589      0.95924255
       1.2928774      0.96180373
       1.2928958      0.96682256
       1.2929143      0.95520258
       1.2929328      0.95613808
       1.2929513      0.96169065
       1.2929698      0.95752669
       1.2929882      0.96534281
       1.2930067      0.96620193
       1.2930252      0.97562859
       1.2930437      0.97550060
       1.2930621      0.97726009
       1.2930806      0.97672372
       1.2930991      0.97300097
       1.2931176      0.96513479
       1.2931361      0.96537053
       1.2931545      0.95895218
       1.2931730      0.95979644
       1.2931915      0.96418402
       1.2932100      0.96181650
       1.2932284      0.96575199
       1.2932469      0.96169333
       1.2932654      0.96460335
       1.2932839      0.96845003
       1.2933024      0.95753637
       1.2933208      0.95830100
       1.2933393      0.95650809
       1.2933578      0.95363593
       1.2933763      0.95234660
       1.2933947      0.95219372
       1.2934132      0.95716356
       1.2934317      0.95728568
       1.2934502      0.96057465
       1.2934686      0.96124198
       1.2934871      0.96020226
       1.2935057      0.95719172
       1.2935242      0.96165284
       1.2935427      0.96534129
       1.2935612      0.96266831
       1.2935796      0.96768299
       1.2935981      0.97459773
       1.2936166      0.97155144
       1.2936351      0.97357869
       1.2936535      0.96877574
       1.2936720      0.97845620
       1.2936905      0.97959638
       1.2937090      0.98246191
       1.2937275      0.97140645
       1.2937459      0.99037318
       1.2937644      0.98724495
       1.2937829      0.98457709
       1.2938014      0.97046633
       1.2938198      0.97345997
       1.2938383      0.97375549
       1.2938568      0.97857645
       1.2938753      0.97766553
       1.2938937      0.97378531
       1.2939122      0.96749154
       1.2939307      0.96800066
       1.2939492      0.96194973
       1.2939677      0.97228703
       1.2939861      0.97530221
       1.2940046      0.97342537
       1.2940231      0.96528599
       1.2940416      0.96758717
       1.2940600      0.96024244
       1.2940785      0.95570210
       1.2940970      0.95196433
       1.2941155      0.94171984
