### NIRSPEC Brown Dwarf Spectroscopic Survey (BDSS)
### McLean et al. 2007, ApJ, 658. 1217
### Please cite the above reference if you use  
### or display this data in your publication.
###     Wolf 359 -- NIRSPEC-3 Filter, dispersion order 58
### lambda (microns)   Flambda (Normalized)
       1.3118679      0.93267206
       1.3118867      0.92997205
       1.3119056      0.92208702
       1.3119245      0.90709793
       1.3119433      0.90875944
       1.3119622      0.92107422
       1.3119811      0.93787999
       1.3119999      0.93970741
       1.3120188      0.94052531
       1.3120377      0.92791281
       1.3120566      0.92175706
       1.3120754      0.92376161
       1.3120944      0.92715707
       1.3121132      0.93371991
       1.3121320      0.92129202
       1.3121509      0.90778123
       1.3121698      0.90572666
       1.3121886      0.91321069
       1.3122075      0.90876785
       1.3122264      0.90303133
       1.3122453      0.89624182
       1.3122641      0.90306545
       1.3122829      0.89358528
       1.3123019      0.88198557
       1.3123207      0.86875193
       1.3123396      0.86462364
       1.3123585      0.89002016
       1.3123774      0.89938116
       1.3123962      0.90634547
       1.3124151      0.91278164
       1.3124340      0.90701240
       1.3124528      0.89733967
       1.3124717      0.88886482
       1.3124906      0.88209073
       1.3125094      0.85661709
       1.3125283      0.82776855
       1.3125472      0.82998063
       1.3125661      0.83728144
       1.3125849      0.85412272
       1.3126037      0.84772487
       1.3126227      0.83493524
       1.3126415      0.81694142
       1.3126604      0.79027644
       1.3126793      0.75184632
       1.3126982      0.70122152
       1.3127170      0.64686102
       1.3127358      0.59560434
       1.3127548      0.56236110
       1.3127736      0.55794444
       1.3127924      0.58411961
       1.3128114      0.62578909
       1.3128302      0.68083662
       1.3128491      0.72647877
       1.3128680      0.77858046
       1.3128869      0.81937549
       1.3129057      0.83375746
       1.3129245      0.83608076
       1.3129435      0.84082179
       1.3129623      0.84345356
       1.3129812      0.84910689
       1.3130000      0.85439053
       1.3130188      0.85922129
       1.3130377      0.86850703
       1.3130565      0.87066208
       1.3130755      0.86253448
       1.3130943      0.84665879
       1.3131131      0.83625463
       1.3131321      0.84278849
       1.3131509      0.86449978
       1.3131698      0.87307606
       1.3131887      0.87346772
       1.3132076      0.86380106
       1.3132264      0.87116684
       1.3132452      0.89496449
       1.3132642      0.91009799
       1.3132830      0.92843720
       1.3133018      0.93251222
       1.3133208      0.94161896
       1.3133396      0.93832866
       1.3133585      0.93732849
       1.3133773      0.93201727
       1.3133963      0.93895494
       1.3134151      0.93306045
       1.3134339      0.91768625
       1.3134529      0.90853090
       1.3134717      0.91384492
       1.3134906      0.93243230
       1.3135095      0.95555599
       1.3135283      0.95340029
       1.3135472      0.96280643
       1.3135660      0.97221257
       1.3135850      0.98161871
       1.3136038      0.97610634
       1.3136226      0.96607654
       1.3136416      0.96275820
       1.3136604      0.95601869
       1.3136793      0.95460255
